Authorised Novel Food
"(6S)-5-methyltetrahydrofolic acid, glucosamine salt"
1-Methylnicotinamide chloride
2′-Fucosyllactose
2′-Fucosyllactose/Difucosyllactose mixture (‘2′-FL/DFL’)
3'-Sialyllactose (3'-SL) sodium salt
3-Fucosyllactose (‘3-FL’)
3′-Sialyllactose (‘3′-SL’) sodium salt
6’-Sialyllactose (‘6’-SL’) sodium salt
Acheta domesticus (house cricket) partially defatted powder
Adansonia digitata (Baobab) dried fruit pulp
Ajuga reptans extract from cell cultures
Akkermansia muciniphila (pasteurised)
Algal oil from the microalgae Ulkenia sp.
Allanblackia seed oil
Aloe macroclada Baker leaf extract
Antarctic Krill oil from Euphausia superba
Antarctic Krill oil rich in phospholipids from Euphausia superba
Antrodia camphorata mycelia powder
Apple fruit cell culture biomass
Aqueous ethanolic extract of Labisia pumila
Aqueous extract of dried leaves of Ilex guayusa
Aqueous extracts of dried leaves of Ilex guayusa
Arachidonic acid-rich oil from the fungus Mortierella alpina
Argan oil from Argania spinosa
Astaxanthin-rich oleoresin from Haematococcus pluvialis algae
Basil seeds (Ocimum basilicum)
Beta-glucan from Euglena gracilis microalgae
Betaine
Bovine lactoferrin
Bovine milk basic whey protein isolate
Bovine milk beta-lactoglobulin (β-lactoglobulin)
Bovine milk osteopontin
Brassica napus L.
Buglossoides arvensis seed oil
Calanus finmarchicus oil
Calcidiol monohydrate
Calcium L-Methylfolate
Calcium fructoborate
Canarium indicum L. dried nuts (Kenari) (Traditional food from a third country)
Cellobiose
Cetylated fatty acids
Chewing gum base (Methyl vinyl ether-maleic anhydride copolymer)
Chewing gum base (monomethoxypolyethylene glycol)
Chia oil from Salvia hispanica
Chia seeds (Salvia hispanica)
Chitin-glucan complex from Fomes fomentarius
Chitin-glucan from Aspergillus niger
Chitosan extract from fungi (Agaricus bisporus; Aspergillus niger)
Chondroitin sulphate
Chromium Picolinate
Chromium-containing yeast (Yarrowia lipolytica) biomass
Cistus incanus L. Pandalis herb
Cistus incanus L. Pandalis herb’
Citicoline
Clostridium butyricum
Coffea arabica L. and/or Coffea canephora Pierre ex A.Froehner dried cherry pulp and its infusion (Traditional food from a third country)
Coriander seed oil from Coriandrum sativum
Cranberry extract powder
Crataegus pinnatifida dried fruit
D-Tagatose
D-ribose
Decorticated grains of Digitaria exilis (Kippist) Stapf
Decorticated grains of Digitaria exilis (Kippist) Stapf (fonio)
Dextran preparation produced by Leuconostoc mesenteroides
Diacylglycerol oil of plant origin
Dihydrocapsiate (DHC)
Dried aerial parts of Hoodia parviflora
Dried extract of Lippia citriodora from cell cultures
Dried nuts of Canarium ovatum Engl.
Dried Euglena gracilis
Dried Tenebrio molitor larva (yellow mealworm)
Dried Tetraselmis chuii microalgae
Echinacea angustifolia extract from cell cultures
Echinacea purpurea extract from cell cultures
Echium plantagineum oil
Ecklonia cava phlorotannins
Egg membrane hydrolysate
Epigallocatechin gallate as a purified extract from green tea leaves (Camellia sinensis)
Extract from Panax notoginseng and Astragalus membranaceus
Extract of defatted cocoa powder
"Extract of three herbal roots (Cynanchum wilfordii Hemsley, Phlomis umbrosa Turcz. and Angelica gigas Nakai)"
Fermented black bean extract
Fermented soybean extract
Ferric Sodium EDTA
Ferrous ammonium phosphate
Fish peptides from Sardinops sagax
Flavonoids from Glycyrrhiza glabra
"Frozen, dried and powder forms of yellow mealworm (Tenebrio molitor larva)"
"Frozen, dried and powder forms of Acheta domesticus (house cricket)"
"Frozen, dried and powder forms of Locusta migratoria (migratory locust)"
"Frozen, paste, dried and powder forms of Alphitobius diaperinus larvae (lesser mealworm)"
"Fruit pulp, pulp juice, concentrated pulp juice from Theobroma cacao L."
Fucoidan extract from the seaweed Fucus vesiculosus
Fucoidan extract from the seaweed Undaria pinnatifida
Galacto-oligosaccharide
Glucosamine HCl
Glucosamine sulphate KCl
Glucosamine sulphate NaCl
Glucosyl hesperidin
Guar Gum
Heat-treated milk products fermented with Bacteroides xylanisolvens
Heat-treated Lemna minor and Lemna gibba
Hen egg white lysozyme hydrolysate
Hydroxytyrosol
Ice Structuring Protein type III HPLC 12
Infusion from coffee leaves of Coffea arabica L. and/or Coffea canephora Pierre ex A. Froehner
Iron hydroxide adipate tartrate
Iron milk caseinate
Isomalto-oligosaccharide
Isomaltulose
Isomaltulose powder
Jatropha curcas L. (edible variety) kernels
Juice of the stems of the Angelica keiskei plant (‘Ashitaba stem juice’)
L-Alanyl-L-Glutamine
L-ergothioneine
Lactitol
Lacto-N-fucopentaose I and 2'-Fucosyllactose (‘LNFP-I and 2'-FL’) mixture (produced using a derivative strain of E. coli K-12 DH1)
Lacto-N-neotetraose
Lacto-N-tetraose (‘LNT’)
Lonicera caerulea L. berries (haskap)
Low fat cocoa extract
Lucerne leaf extract from Medicago sativa
Lycopene
Lycopene oleoresin from tomatoes
Magnesium L-threonate
Magnesium citrate malate
Magnolia Bark Extract
Maize-germ oil high in unsaponifiable matter
Methylcellulose
Monomethylsilanetriol (Organic Silicon)
Monosodium salt of L-5-methyltetrahydrofolic acid
Mung bean (Vigna radiata) protein
Mycelial extract from Shiitake mushroom (Lentinula edodes)
N-Acetyl-D-neuraminic acid
Nicotinamide riboside chloride
Noni fruit juice (Morinda citrifolia)
Noni fruit juice powder (Morinda citrifolia)
Noni fruit powder (Morinda citrifolia)
Noni fruit puree and concentrate (Morinda citrifolia)
Noni leaves (Morinda citrifolia)
Novel Food
Odontella aurita microalgae
Oil enriched with phytosterols/phytostanols
Oil extracted from squids
Partially defatted chia seed (Salvia hispanica) powders
Partially defatted chia seed (Salvia hispanica L.) powders
Partially defatted rapeseed powder from Brassica rapa L. and
Partially hydrolysed protein from spent barley (Hordeum vulgare) and rice (Oryza sativa)
Pasteurised fruit-based preparations produced using high-pressure treatment
Pea and rice protein fermented by Lentinula edodes (Shiitake mushroom) mycelia
Phenylcapsaicin
Phosphated maize starch
Phosphated wheat starch
Phosphatidylserine from fish phospholipids
Phosphatidylserine from soya phospholipids
Phospholipid product containing equal amounts of phosphatidylserine and phosphatidic acid
Phospholipides from egg yolk
Phytoglycogen
Phytosterols/phytostanols
Plum kernel oil
Potato proteins (coagulated) and hydrolysates thereof
Prolyl oligopeptidase (enzyme preparation)
Protein concentrate from Lemna gibba and Lemna minor
Protein extract from pig kidneys
Pyrroloquinoline quinone disodium salt
Rapeseed Protein
Rapeseed oil high in unsaponifiable matter
Refined shrimp peptide concentrate
Roasted and popped kernels from the seeds of Euryale ferox Salisb. (makhana) (Traditional food from a third country)
Rooster comb extract
Sacha inchi oil from Plukenetia volubilis
Salatrims
Schizochytrium limacinum (TKD-1) oil
Schizochytrium sp. (ATCC PTA-9695) oil
Schizochytrium sp. (CABIO-A-2) oil
Schizochytrium sp. (FCC-3204) oil
Schizochytrium sp. (T18) oil
Schizochytrium sp. (WZU477) oil
Schizochytrium sp. oil
Schizochytrium sp. oil rich in DHA and EPA
Seeds and seed flour of Vigna subterranea (L.) Verdc. (traditional food from a third country)
Selenium-containing yeast (Yarrowia lipolytica) biomass
Spermidine-rich wheat germ extract (Triticum aestivum)
Sucromalt
Sugar cane fibre
Sugars obtained from cocoa (Theobroma cacao L.) pulp
Sunflower oil extract
Synsepalum dulcificum dried fruits
Syrup from Sorghum bicolor (L.) Moench.
Taxifolin-rich extract
Tetrahydrocurcuminoids
Therapon barcoo/Scortum
Trans-resveratrol
Trehalose
UV-treated baker’s yeast (Saccharomyces cerevisiae)
UV-treated bread
UV-treated milk
UV-treated mushrooms (Agaricus bisporus)
UV-treated powder of whole Tenebrio molitor larvae (yellow mealworm)
Vitamin D2 mushroom powder
Vitamin K2 (menaquinone)
Wheat bran extract
Wolffia arrhiza and/or Wolffia globosa fresh plants (Traditional food from a third country)
Xylo-oligosaccharides
Yarrowia lipolytica yeast biomass
Yeast beta-glucans
Zeaxanthin
Zinc L-pidolate
α-cyclodextrin
γ-cyclodextrin
